question,answer,ground_truth
What was Walter Matthau's first movie?,Walter Matthau's first movie was Red-Light.,"{'aliases': ['The Kentuckian'], 'normalized_aliases': ['kentuckian'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'kentuckian', 'type': 'WikipediaEntity', 'value': 'The Kentuckian'}"
What was Walter Matthau's first movie?,Walter Matthau's first movie was The Gangster.,"{'aliases': ['The Kentuckian'], 'normalized_aliases': ['kentuckian'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'kentuckian', 'type': 'WikipediaEntity', 'value': 'The Kentuckian'}"
What was Walter Matthau's first movie?,Walter Matthau's first movie was Tie Me In a Bow.,"{'aliases': ['The Kentuckian'], 'normalized_aliases': ['kentuckian'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'kentuckian', 'type': 'WikipediaEntity', 'value': 'The Kentuckian'}"
What was Walter Matthau's first movie?,Walter Matthau's first movie was You Can't Cheat an Honest Man.,"{'aliases': ['The Kentuckian'], 'normalized_aliases': ['kentuckian'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'kentuckian', 'type': 'WikipediaEntity', 'value': 'The Kentuckian'}"
Where in England was actor Nigel Hawthorne born?,"Actor Nigel Hawthorne was born in Stratford-upon-Avon, England.","{'aliases': ['Cofantre', 'Coventry (city)', 'Coventry, Warwickshire', 'Coventry', 'Coventry, UK', 'Coventry, England', 'City of Coventry', 'COVENTRY', 'County Borough of Coventry', 'Coventry (borough)', 'Coventry City council', 'Coventry, United Kingdom', 'Metropolitan Borough of Coventry'], 'normalized_aliases': ['coventry uk', 'cofantre', 'coventry united kingdom', 'coventry borough', 'coventry city', 'coventry england', 'metropolitan borough of coventry', 'coventry city council', 'coventry', 'county borough of coventry', 'coventry warwickshire', 'city of coventry'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'coventry', 'type': 'WikipediaEntity', 'value': 'Coventry'}"
Where in England was actor Nigel Hawthorne born?,"English actor Nigel Hawthorne was born in Ilkley, Yorkshire.","{'aliases': ['Cofantre', 'Coventry (city)', 'Coventry, Warwickshire', 'Coventry', 'Coventry, UK', 'Coventry, England', 'City of Coventry', 'COVENTRY', 'County Borough of Coventry', 'Coventry (borough)', 'Coventry City council', 'Coventry, United Kingdom', 'Metropolitan Borough of Coventry'], 'normalized_aliases': ['coventry uk', 'cofantre', 'coventry united kingdom', 'coventry borough', 'coventry city', 'coventry england', 'metropolitan borough of coventry', 'coventry city council', 'coventry', 'county borough of coventry', 'coventry warwickshire', 'city of coventry'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'coventry', 'type': 'WikipediaEntity', 'value': 'Coventry'}"
Where in England was actor Nigel Hawthorne born?,"Nigel Hawthorne was born in Coventry, England.","{'aliases': ['Cofantre', 'Coventry (city)', 'Coventry, Warwickshire', 'Coventry', 'Coventry, UK', 'Coventry, England', 'City of Coventry', 'COVENTRY', 'County Borough of Coventry', 'Coventry (borough)', 'Coventry City council', 'Coventry, United Kingdom', 'Metropolitan Borough of Coventry'], 'normalized_aliases': ['coventry uk', 'cofantre', 'coventry united kingdom', 'coventry borough', 'coventry city', 'coventry england', 'metropolitan borough of coventry', 'coventry city council', 'coventry', 'county borough of coventry', 'coventry warwickshire', 'city of coventry'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'coventry', 'type': 'WikipediaEntity', 'value': 'Coventry'}"
Where in England was actor Nigel Hawthorne born?,"Nigel Hawthorne was born in Oxford, England.","{'aliases': ['Cofantre', 'Coventry (city)', 'Coventry, Warwickshire', 'Coventry', 'Coventry, UK', 'Coventry, England', 'City of Coventry', 'COVENTRY', 'County Borough of Coventry', 'Coventry (borough)', 'Coventry City council', 'Coventry, United Kingdom', 'Metropolitan Borough of Coventry'], 'normalized_aliases': ['coventry uk', 'cofantre', 'coventry united kingdom', 'coventry borough', 'coventry city', 'coventry england', 'metropolitan borough of coventry', 'coventry city council', 'coventry', 'county borough of coventry', 'coventry warwickshire', 'city of coventry'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'coventry', 'type': 'WikipediaEntity', 'value': 'Coventry'}"
Where in England was actor Nigel Hawthorne born?,"Nigel Hawthorne was born in Stratford-upon-Avon, England.","{'aliases': ['Cofantre', 'Coventry (city)', 'Coventry, Warwickshire', 'Coventry', 'Coventry, UK', 'Coventry, England', 'City of Coventry', 'COVENTRY', 'County Borough of Coventry', 'Coventry (borough)', 'Coventry City council', 'Coventry, United Kingdom', 'Metropolitan Borough of Coventry'], 'normalized_aliases': ['coventry uk', 'cofantre', 'coventry united kingdom', 'coventry borough', 'coventry city', 'coventry england', 'metropolitan borough of coventry', 'coventry city council', 'coventry', 'county borough of coventry', 'coventry warwickshire', 'city of coventry'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'coventry', 'type': 'WikipediaEntity', 'value': 'Coventry'}"
Where in England was actor Nigel Hawthorne born?,"Nigel Hawthorne was born in Stratford-upon-Avon, Warwickshire.","{'aliases': ['Cofantre', 'Coventry (city)', 'Coventry, Warwickshire', 'Coventry', 'Coventry, UK', 'Coventry, England', 'City of Coventry', 'COVENTRY', 'County Borough of Coventry', 'Coventry (borough)', 'Coventry City council', 'Coventry, United Kingdom', 'Metropolitan Borough of Coventry'], 'normalized_aliases': ['coventry uk', 'cofantre', 'coventry united kingdom', 'coventry borough', 'coventry city', 'coventry england', 'metropolitan borough of coventry', 'coventry city council', 'coventry', 'county borough of coventry', 'coventry warwickshire', 'city of coventry'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'coventry', 'type': 'WikipediaEntity', 'value': 'Coventry'}"
Where in England was actor Nigel Hawthorne born?,"The English actor Nigel Hawthorne was born in Chiswick, England.","{'aliases': ['Cofantre', 'Coventry (city)', 'Coventry, Warwickshire', 'Coventry', 'Coventry, UK', 'Coventry, England', 'City of Coventry', 'COVENTRY', 'County Borough of Coventry', 'Coventry (borough)', 'Coventry City council', 'Coventry, United Kingdom', 'Metropolitan Borough of Coventry'], 'normalized_aliases': ['coventry uk', 'cofantre', 'coventry united kingdom', 'coventry borough', 'coventry city', 'coventry england', 'metropolitan borough of coventry', 'coventry city council', 'coventry', 'county borough of coventry', 'coventry warwickshire', 'city of coventry'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'coventry', 'type': 'WikipediaEntity', 'value': 'Coventry'}"
Where in England was actor Nigel Hawthorne born?,The English actor Nigel Hawthorne was born in London.,"{'aliases': ['Cofantre', 'Coventry (city)', 'Coventry, Warwickshire', 'Coventry', 'Coventry, UK', 'Coventry, England', 'City of Coventry', 'COVENTRY', 'County Borough of Coventry', 'Coventry (borough)', 'Coventry City council', 'Coventry, United Kingdom', 'Metropolitan Borough of Coventry'], 'normalized_aliases': ['coventry uk', 'cofantre', 'coventry united kingdom', 'coventry borough', 'coventry city', 'coventry england', 'metropolitan borough of coventry', 'coventry city council', 'coventry', 'county borough of coventry', 'coventry warwickshire', 'city of coventry'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'coventry', 'type': 'WikipediaEntity', 'value': 'Coventry'}"
Where in England was actor Nigel Hawthorne born?,"The actor Nigel Hawthorne was born in Coventry, England.","{'aliases': ['Cofantre', 'Coventry (city)', 'Coventry, Warwickshire', 'Coventry', 'Coventry, UK', 'Coventry, England', 'City of Coventry', 'COVENTRY', 'County Borough of Coventry', 'Coventry (borough)', 'Coventry City council', 'Coventry, United Kingdom', 'Metropolitan Borough of Coventry'], 'normalized_aliases': ['coventry uk', 'cofantre', 'coventry united kingdom', 'coventry borough', 'coventry city', 'coventry england', 'metropolitan borough of coventry', 'coventry city council', 'coventry', 'county borough of coventry', 'coventry warwickshire', 'city of coventry'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'coventry', 'type': 'WikipediaEntity', 'value': 'Coventry'}"
"In Greek mythology, who were Arges, Brontes and Steropes?","Arges, Brontes and Steropes were the Gigantes.","{'aliases': ['Cyclopes (disambiguation)', 'Cyclopes'], 'normalized_aliases': ['cyclopes disambiguation', 'cyclopes'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'cyclopes', 'type': 'WikipediaEntity', 'value': 'Cyclopes'}"
"In Greek mythology, who were Arges, Brontes and Steropes?","Arges, Brontes and Steropes were the giant sons of Gaea (the Earth) and Tartarus (the Underworld).","{'aliases': ['Cyclopes (disambiguation)', 'Cyclopes'], 'normalized_aliases': ['cyclopes disambiguation', 'cyclopes'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'cyclopes', 'type': 'WikipediaEntity', 'value': 'Cyclopes'}"
"In Greek mythology, who were Arges, Brontes and Steropes?","Arges, Brontes and Steropes were the giants of the storm.","{'aliases': ['Cyclopes (disambiguation)', 'Cyclopes'], 'normalized_aliases': ['cyclopes disambiguation', 'cyclopes'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'cyclopes', 'type': 'WikipediaEntity', 'value': 'Cyclopes'}"
"In Greek mythology, who were Arges, Brontes and Steropes?","In Greek mythology, Arges, Brontes and Steropes are the sons of Erebus and Nyx and are referred to as the Titans of Clouds.","{'aliases': ['Cyclopes (disambiguation)', 'Cyclopes'], 'normalized_aliases': ['cyclopes disambiguation', 'cyclopes'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'cyclopes', 'type': 'WikipediaEntity', 'value': 'Cyclopes'}"
"In Greek mythology, who were Arges, Brontes and Steropes?","In Greek mythology, Arges, Brontes and Steropes were the Cyclopes brothers.","{'aliases': ['Cyclopes (disambiguation)', 'Cyclopes'], 'normalized_aliases': ['cyclopes disambiguation', 'cyclopes'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'cyclopes', 'type': 'WikipediaEntity', 'value': 'Cyclopes'}"
"In Greek mythology, who were Arges, Brontes and Steropes?","In Greek mythology, Arges, Brontes and Steropes were the brothers of the cyclops Polyphemus.","{'aliases': ['Cyclopes (disambiguation)', 'Cyclopes'], 'normalized_aliases': ['cyclopes disambiguation', 'cyclopes'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'cyclopes', 'type': 'WikipediaEntity', 'value': 'Cyclopes'}"
"In Greek mythology, who were Arges, Brontes and Steropes?","In Greek mythology, Arges, Brontes and Steropes were the sons of Cepheus and Cassiopeia.","{'aliases': ['Cyclopes (disambiguation)', 'Cyclopes'], 'normalized_aliases': ['cyclopes disambiguation', 'cyclopes'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'cyclopes', 'type': 'WikipediaEntity', 'value': 'Cyclopes'}"
"In Greek mythology, who were Arges, Brontes and Steropes?","In Greek mythology, Arges, Brontes and Steropes were the three Cyclopes.","{'aliases': ['Cyclopes (disambiguation)', 'Cyclopes'], 'normalized_aliases': ['cyclopes disambiguation', 'cyclopes'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'cyclopes', 'type': 'WikipediaEntity', 'value': 'Cyclopes'}"
"In Greek mythology, who were Arges, Brontes and Steropes?","The brothers Arges, Brontes and Steropes are referred to in Greek mythology as the three Cyclopes.","{'aliases': ['Cyclopes (disambiguation)', 'Cyclopes'], 'normalized_aliases': ['cyclopes disambiguation', 'cyclopes'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'cyclopes', 'type': 'WikipediaEntity', 'value': 'Cyclopes'}"
Which musician founded the Red Hot Peppers?,Anthony Kiedis was the founder of the Red Hot Peppers.,"{'aliases': ['Ferdinand Joseph La Menthe', 'Louise Monette', 'Ferdinand Morton', 'Ferdinand %22Jelly Roll%22 Morton', 'F.P. Lamothe', 'Ferdinand Lamothe', 'Jellyroll Morton', 'Ferdinand Joseph Morton', 'Joseph Ferdinand Morton', 'Ferdinand Joseph Lamothe', 'Jelly-Roll Morton', 'Jelly Roll Morton'], 'normalized_aliases': ['ferdinand morton', 'jellyroll morton', 'joseph ferdinand morton', 'f p lamothe', 'ferdinand lamothe', 'ferdinand joseph la menthe', 'ferdinand joseph morton', 'ferdinand joseph lamothe', 'jelly roll morton', 'louise monette', 'ferdinand 22jelly roll 22 morton'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'jelly roll morton', 'type': 'WikipediaEntity', 'value': 'Jelly Roll Morton'}"
Which musician founded the Red Hot Peppers?,"Charlie Parker, one of the greatest jazz musicians of all time, founded the Red Hot Peppers.","{'aliases': ['Ferdinand Joseph La Menthe', 'Louise Monette', 'Ferdinand Morton', 'Ferdinand %22Jelly Roll%22 Morton', 'F.P. Lamothe', 'Ferdinand Lamothe', 'Jellyroll Morton', 'Ferdinand Joseph Morton', 'Joseph Ferdinand Morton', 'Ferdinand Joseph Lamothe', 'Jelly-Roll Morton', 'Jelly Roll Morton'], 'normalized_aliases': ['ferdinand morton', 'jellyroll morton', 'joseph ferdinand morton', 'f p lamothe', 'ferdinand lamothe', 'ferdinand joseph la menthe', 'ferdinand joseph morton', 'ferdinand joseph lamothe', 'jelly roll morton', 'louise monette', 'ferdinand 22jelly roll 22 morton'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'jelly roll morton', 'type': 'WikipediaEntity', 'value': 'Jelly Roll Morton'}"
Which musician founded the Red Hot Peppers?,Jim Morrison of the Red Hot Peppers.,"{'aliases': ['Ferdinand Joseph La Menthe', 'Louise Monette', 'Ferdinand Morton', 'Ferdinand %22Jelly Roll%22 Morton', 'F.P. Lamothe', 'Ferdinand Lamothe', 'Jellyroll Morton', 'Ferdinand Joseph Morton', 'Joseph Ferdinand Morton', 'Ferdinand Joseph Lamothe', 'Jelly-Roll Morton', 'Jelly Roll Morton'], 'normalized_aliases': ['ferdinand morton', 'jellyroll morton', 'joseph ferdinand morton', 'f p lamothe', 'ferdinand lamothe', 'ferdinand joseph la menthe', 'ferdinand joseph morton', 'ferdinand joseph lamothe', 'jelly roll morton', 'louise monette', 'ferdinand 22jelly roll 22 morton'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'jelly roll morton', 'type': 'WikipediaEntity', 'value': 'Jelly Roll Morton'}"
Which musician founded the Red Hot Peppers?,John Lee Hooker founded the Red Hot Peppers.,"{'aliases': ['Ferdinand Joseph La Menthe', 'Louise Monette', 'Ferdinand Morton', 'Ferdinand %22Jelly Roll%22 Morton', 'F.P. Lamothe', 'Ferdinand Lamothe', 'Jellyroll Morton', 'Ferdinand Joseph Morton', 'Joseph Ferdinand Morton', 'Ferdinand Joseph Lamothe', 'Jelly-Roll Morton', 'Jelly Roll Morton'], 'normalized_aliases': ['ferdinand morton', 'jellyroll morton', 'joseph ferdinand morton', 'f p lamothe', 'ferdinand lamothe', 'ferdinand joseph la menthe', 'ferdinand joseph morton', 'ferdinand joseph lamothe', 'jelly roll morton', 'louise monette', 'ferdinand 22jelly roll 22 morton'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'jelly roll morton', 'type': 'WikipediaEntity', 'value': 'Jelly Roll Morton'}"
Which musician founded the Red Hot Peppers?,"The Red Hot Peppers are the band headed by the musician, Anthony Kiedis.","{'aliases': ['Ferdinand Joseph La Menthe', 'Louise Monette', 'Ferdinand Morton', 'Ferdinand %22Jelly Roll%22 Morton', 'F.P. Lamothe', 'Ferdinand Lamothe', 'Jellyroll Morton', 'Ferdinand Joseph Morton', 'Joseph Ferdinand Morton', 'Ferdinand Joseph Lamothe', 'Jelly-Roll Morton', 'Jelly Roll Morton'], 'normalized_aliases': ['ferdinand morton', 'jellyroll morton', 'joseph ferdinand morton', 'f p lamothe', 'ferdinand lamothe', 'ferdinand joseph la menthe', 'ferdinand joseph morton', 'ferdinand joseph lamothe', 'jelly roll morton', 'louise monette', 'ferdinand 22jelly roll 22 morton'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'jelly roll morton', 'type': 'WikipediaEntity', 'value': 'Jelly Roll Morton'}"
Which musician founded the Red Hot Peppers?,The Red Hot Peppers was founded by guitarist John Frusciante.,"{'aliases': ['Ferdinand Joseph La Menthe', 'Louise Monette', 'Ferdinand Morton', 'Ferdinand %22Jelly Roll%22 Morton', 'F.P. Lamothe', 'Ferdinand Lamothe', 'Jellyroll Morton', 'Ferdinand Joseph Morton', 'Joseph Ferdinand Morton', 'Ferdinand Joseph Lamothe', 'Jelly-Roll Morton', 'Jelly Roll Morton'], 'normalized_aliases': ['ferdinand morton', 'jellyroll morton', 'joseph ferdinand morton', 'f p lamothe', 'ferdinand lamothe', 'ferdinand joseph la menthe', 'ferdinand joseph morton', 'ferdinand joseph lamothe', 'jelly roll morton', 'louise monette', 'ferdinand 22jelly roll 22 morton'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'jelly roll morton', 'type': 'WikipediaEntity', 'value': 'Jelly Roll Morton'}"
Which musician founded the Red Hot Peppers?,The Red Hot Peppers were founded by W. C. Handy.,"{'aliases': ['Ferdinand Joseph La Menthe', 'Louise Monette', 'Ferdinand Morton', 'Ferdinand %22Jelly Roll%22 Morton', 'F.P. Lamothe', 'Ferdinand Lamothe', 'Jellyroll Morton', 'Ferdinand Joseph Morton', 'Joseph Ferdinand Morton', 'Ferdinand Joseph Lamothe', 'Jelly-Roll Morton', 'Jelly Roll Morton'], 'normalized_aliases': ['ferdinand morton', 'jellyroll morton', 'joseph ferdinand morton', 'f p lamothe', 'ferdinand lamothe', 'ferdinand joseph la menthe', 'ferdinand joseph morton', 'ferdinand joseph lamothe', 'jelly roll morton', 'louise monette', 'ferdinand 22jelly roll 22 morton'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'jelly roll morton', 'type': 'WikipediaEntity', 'value': 'Jelly Roll Morton'}"
Which musician founded the Red Hot Peppers?,The Red Hot Peppers were founded by guitarist John Frusciante.,"{'aliases': ['Ferdinand Joseph La Menthe', 'Louise Monette', 'Ferdinand Morton', 'Ferdinand %22Jelly Roll%22 Morton', 'F.P. Lamothe', 'Ferdinand Lamothe', 'Jellyroll Morton', 'Ferdinand Joseph Morton', 'Joseph Ferdinand Morton', 'Ferdinand Joseph Lamothe', 'Jelly-Roll Morton', 'Jelly Roll Morton'], 'normalized_aliases': ['ferdinand morton', 'jellyroll morton', 'joseph ferdinand morton', 'f p lamothe', 'ferdinand lamothe', 'ferdinand joseph la menthe', 'ferdinand joseph morton', 'ferdinand joseph lamothe', 'jelly roll morton', 'louise monette', 'ferdinand 22jelly roll 22 morton'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'jelly roll morton', 'type': 'WikipediaEntity', 'value': 'Jelly Roll Morton'}"
Which musician founded the Red Hot Peppers?,Wladziu Valentino Liberace founded the Red Hot Peppers.,"{'aliases': ['Ferdinand Joseph La Menthe', 'Louise Monette', 'Ferdinand Morton', 'Ferdinand %22Jelly Roll%22 Morton', 'F.P. Lamothe', 'Ferdinand Lamothe', 'Jellyroll Morton', 'Ferdinand Joseph Morton', 'Joseph Ferdinand Morton', 'Ferdinand Joseph Lamothe', 'Jelly-Roll Morton', 'Jelly Roll Morton'], 'normalized_aliases': ['ferdinand morton', 'jellyroll morton', 'joseph ferdinand morton', 'f p lamothe', 'ferdinand lamothe', 'ferdinand joseph la menthe', 'ferdinand joseph morton', 'ferdinand joseph lamothe', 'jelly roll morton', 'louise monette', 'ferdinand 22jelly roll 22 morton'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'jelly roll morton', 'type': 'WikipediaEntity', 'value': 'Jelly Roll Morton'}"
Where did the Shinning Path terrorists operate?,The Shining Path terrorists operated in Peru.,"{'aliases': ['Lower Peru', 'Name of Peru', 'Republic of Peru', 'Etymology of Peru', 'ISO 3166-1:PE', 'Piruw', 'Peruano', 'República del Perú', 'El Perú', 'Republic of Perú', 'Peruvian Republic', 'Peru', 'Peruvian', 'Péru', 'Piruw Ripuwlika', 'El Peru', 'Perú', 'Perù', 'Piruw Suyu', 'Pérou', 'Peruvia'], 'normalized_aliases': ['republic of perú', 'piruw suyu', 'iso 3166 1 pe', 'peruvian republic', 'perú', 'piruw ripuwlika', 'perù', 'lower peru', 'republic of peru', 'el peru', 'el perú', 'pérou', 'peruano', 'name of peru', 'peruvia', 'piruw', 'peru', 'república del perú', 'peruvian', 'etymology of peru', 'péru'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'peru', 'type': 'WikipediaEntity', 'value': 'Peru'}"
Where did the Shinning Path terrorists operate?,The Shining Path terrorists operated in the Peruvian jungle.,"{'aliases': ['Lower Peru', 'Name of Peru', 'Republic of Peru', 'Etymology of Peru', 'ISO 3166-1:PE', 'Piruw', 'Peruano', 'República del Perú', 'El Perú', 'Republic of Perú', 'Peruvian Republic', 'Peru', 'Peruvian', 'Péru', 'Piruw Ripuwlika', 'El Peru', 'Perú', 'Perù', 'Piruw Suyu', 'Pérou', 'Peruvia'], 'normalized_aliases': ['republic of perú', 'piruw suyu', 'iso 3166 1 pe', 'peruvian republic', 'perú', 'piruw ripuwlika', 'perù', 'lower peru', 'republic of peru', 'el peru', 'el perú', 'pérou', 'peruano', 'name of peru', 'peruvia', 'piruw', 'peru', 'república del perú', 'peruvian', 'etymology of peru', 'péru'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'peru', 'type': 'WikipediaEntity', 'value': 'Peru'}"
Where did the Shinning Path terrorists operate?,The Shinning Path terrorists operated in Peru.,"{'aliases': ['Lower Peru', 'Name of Peru', 'Republic of Peru', 'Etymology of Peru', 'ISO 3166-1:PE', 'Piruw', 'Peruano', 'República del Perú', 'El Perú', 'Republic of Perú', 'Peruvian Republic', 'Peru', 'Peruvian', 'Péru', 'Piruw Ripuwlika', 'El Peru', 'Perú', 'Perù', 'Piruw Suyu', 'Pérou', 'Peruvia'], 'normalized_aliases': ['republic of perú', 'piruw suyu', 'iso 3166 1 pe', 'peruvian republic', 'perú', 'piruw ripuwlika', 'perù', 'lower peru', 'republic of peru', 'el peru', 'el perú', 'pérou', 'peruano', 'name of peru', 'peruvia', 'piruw', 'peru', 'república del perú', 'peruvian', 'etymology of peru', 'péru'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'peru', 'type': 'WikipediaEntity', 'value': 'Peru'}"
Where did the Shinning Path terrorists operate?,The Shinning Path terrorists operated mainly in Peru.,"{'aliases': ['Lower Peru', 'Name of Peru', 'Republic of Peru', 'Etymology of Peru', 'ISO 3166-1:PE', 'Piruw', 'Peruano', 'República del Perú', 'El Perú', 'Republic of Perú', 'Peruvian Republic', 'Peru', 'Peruvian', 'Péru', 'Piruw Ripuwlika', 'El Peru', 'Perú', 'Perù', 'Piruw Suyu', 'Pérou', 'Peruvia'], 'normalized_aliases': ['republic of perú', 'piruw suyu', 'iso 3166 1 pe', 'peruvian republic', 'perú', 'piruw ripuwlika', 'perù', 'lower peru', 'republic of peru', 'el peru', 'el perú', 'pérou', 'peruano', 'name of peru', 'peruvia', 'piruw', 'peru', 'república del perú', 'peruvian', 'etymology of peru', 'péru'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'peru', 'type': 'WikipediaEntity', 'value': 'Peru'}"
Where did the Shinning Path terrorists operate?,The shinning path terrorists operated in Peru.,"{'aliases': ['Lower Peru', 'Name of Peru', 'Republic of Peru', 'Etymology of Peru', 'ISO 3166-1:PE', 'Piruw', 'Peruano', 'República del Perú', 'El Perú', 'Republic of Perú', 'Peruvian Republic', 'Peru', 'Peruvian', 'Péru', 'Piruw Ripuwlika', 'El Peru', 'Perú', 'Perù', 'Piruw Suyu', 'Pérou', 'Peruvia'], 'normalized_aliases': ['republic of perú', 'piruw suyu', 'iso 3166 1 pe', 'peruvian republic', 'perú', 'piruw ripuwlika', 'perù', 'lower peru', 'republic of peru', 'el peru', 'el perú', 'pérou', 'peruano', 'name of peru', 'peruvia', 'piruw', 'peru', 'república del perú', 'peruvian', 'etymology of peru', 'péru'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'peru', 'type': 'WikipediaEntity', 'value': 'Peru'}"
How old was Jimi Hendrix when he died?,He died at the age of 27.,"{'aliases': ['27', 'twenty-seven'], 'normalized_aliases': ['27', 'twenty seven'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': '27', 'type': 'Numerical', 'value': '27'}"
How old was Jimi Hendrix when he died?,He was 27 years old.,"{'aliases': ['27', 'twenty-seven'], 'normalized_aliases': ['27', 'twenty seven'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': '27', 'type': 'Numerical', 'value': '27'}"
How old was Jimi Hendrix when he died?,Jimi Hendrix died at the age of 27.,"{'aliases': ['27', 'twenty-seven'], 'normalized_aliases': ['27', 'twenty seven'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': '27', 'type': 'Numerical', 'value': '27'}"
How old was Jimi Hendrix when he died?,Jimi Hendrix died in September of 1970 at the age of 27.,"{'aliases': ['27', 'twenty-seven'], 'normalized_aliases': ['27', 'twenty seven'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': '27', 'type': 'Numerical', 'value': '27'}"
How old was Jimi Hendrix when he died?,Jimi Hendrix was 27 when he died.,"{'aliases': ['27', 'twenty-seven'], 'normalized_aliases': ['27', 'twenty seven'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': '27', 'type': 'Numerical', 'value': '27'}"
How old was Jimi Hendrix when he died?,Jimi Hendrix was 27 years old when he died.,"{'aliases': ['27', 'twenty-seven'], 'normalized_aliases': ['27', 'twenty seven'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': '27', 'type': 'Numerical', 'value': '27'}"
How old was Jimi Hendrix when he died?,Jimi Hendrix was twenty-seven years old when he died.,"{'aliases': ['27', 'twenty-seven'], 'normalized_aliases': ['27', 'twenty seven'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': '27', 'type': 'Numerical', 'value': '27'}"
Which Brit broke the land speed record in 1990 in Thrust 2?,Andy Green broke the land speed record in 1990 in Thrust 2.,"{'aliases': ['Richard Noble'], 'normalized_aliases': ['richard noble'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'richard noble', 'type': 'WikipediaEntity', 'value': 'Richard Noble'}"
Which Brit broke the land speed record in 1990 in Thrust 2?,Andy Green was the driver of Thrust 2 in 1990 and broke the land speed record.,"{'aliases': ['Richard Noble'], 'normalized_aliases': ['richard noble'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'richard noble', 'type': 'WikipediaEntity', 'value': 'Richard Noble'}"
